,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines
85,16569582,Chaco Ramen,Darlinghurst,"238 Crown Street, Darlinghurst, Sydney",Sydney,-33.8782078816,151.2154800072,2,50,4.5,Excellent,312,107,Ramen
86,16563069,Felix Bistro and Bar,"Ivy, CBD","Ivy, 2 Ash Street, CBD, Sydney",Sydney,-33.8666573406,151.2077545747,4,120,4.5,Excellent,713,255,French
87,16565382,Hartsyard,Newtown,"33 Newtown Road, Newtown, Sydney",Sydney,-33.8983636483,151.1769510806,4,100,4.5,Excellent,713,234,Modern Australian
88,16557948,glass brasserie & wine bar,"Hilton Sydney, CBD","Level 2, Hilton Sydney Hotel, 488 George Street, CBD, Sydney",Sydney,-33.8723160288,151.20738711209998,4,150,4.5,Excellent,672,243,"Modern Australian, French, Tapas"
89,16558549,Masuya Suisan,Haymarket,"Shop 5, 447 Pitt Street, Chinatown, Haymarket, Sydney",Sydney,-33.8795698589,151.2070474774,3,80,4.5,Excellent,469,159,"Sushi, Japanese"
90,16566332,Mr Crackles,Darlinghurst,"155 Oxford Street, Darlinghurst, Sydney",Sydney,-33.8801504949,151.2160523236,2,35,4.5,Excellent,617,229,"Sandwich, Fast Food, Salad, Fried Chicken, American"
91,16557373,Bodega,Surry Hills,"Entrance On, 50 Holt Street, Gladstone St, Surry Hills NSW 2010, Australia",Sydney,-33.886363276,151.209323667,3,80,4.5,Excellent,803,194,"Latin American, Tapas"
92,16558176,Jazushi,Surry Hills,"145 Devonshire Street, Surry Hills",Sydney,-33.8871484351,151.2094493955,3,60,4.5,Excellent,499,150,Japanese
93,16558647,Otto Ristorante,Woolloomooloo,"Shop 8, 6 Cowper Wharf Road, Woolloomooloo, Sydney",Sydney,-33.8682196627,151.22051484879998,4,160,4.5,Excellent,507,226,Italian
94,16564486,Oiden Bowl Restaurant,"SkyView Shopping Plaza, CBD","Shop 12, SkyView Shopping Plaza, 537-551 George Street, CBD, Sydney",Sydney,-33.8759824091,151.20592396709998,2,30,4.5,Excellent,553,185,"Japanese, Salad, Poké"
95,17744545,Gogyo,Surry Hills,"52-54 Albion Street, Surry Hills, Sydney",Sydney,-33.8822684191,151.2104351074,2,50,4.5,Excellent,341,116,"Japanese, Ramen"
96,16558841,Rengaya,North Sydney,"Shop 1, 101 Miller Street, North Sydney, Sydney",Sydney,-33.8399768092,151.2067222595,2,50,4.5,Excellent,328,112,"Japanese BBQ, Japanese"
97,16558981,Shiki Japanese Restaurant,The Rocks,"Level 1, Clock Tower, The Rocks Centre, 35-75 Harrington Street, The Rocks, Sydney",Sydney,-33.8592451082,151.2078625336,4,120,4.5,Excellent,247,75,"Japanese, Seafood, Hot Pot"
98,16542060,Chat Thai - Westfield Pitt Street Mall,"Westfield Pitt Street Mall, CBD","Level 6, Westfield Pitt Street Mall, 188 Pitt Street, CBD, Sydney",Sydney,-33.869980442199996,151.209032312,2,55,4.5,Excellent,730,278,"Thai, Salad"
99,16559433,Yulli's,Surry Hills,"417 Crown Street, Surry Hills, Sydney",Sydney,-33.8865592186,151.2137117609,3,75,4.5,Excellent,615,165,"Australian, Asian, Vegan"
100,16585905,Tipo 00,CBD,"361 Little Bourke Street, CBD, Melbourne",Melbourne,-37.8135277429,144.9619733915,4,150,4.9,Excellent,1927,717,Italian
101,16586014,Minamishima,Richmond,"4 Lord Street, Richmond, Melbourne, VIC",Melbourne,-37.8198314176,145.005193837,4,450,4.9,Excellent,748,290,"Japanese, Sushi"
102,17881527,Dexter,Preston,"456 High Street, Preston, Melbourne",Melbourne,-37.736195646,145.0044562295,4,110,4.9,Excellent,1475,685,"American, BBQ"
103,16572612,Vue de monde,CBD,"Level 55, Rialto, 525 Collins Street, CBD, Melbourne",Melbourne,-37.8189544974,144.95793364940002,4,600,4.9,Excellent,3225,987,"Australian, Contemporary"
104,16574138,Suzuran,Camberwell,"1025 Burke Road, Camberwell, Melbourne",Melbourne,-37.8217645249,145.05846451969998,2,35,4.9,Excellent,805,195,"Japanese, Sushi"
105,16575773,Scopri Italian Food & Wine,Carlton,"191, Nicholson Street, Carlton, Melbourne",Melbourne,-37.7957182787,144.9751148745,4,180,4.9,Excellent,458,193,Italian
106,16575846,Pho Hung Vuong Springvale,Springvale,"Shop 2, 15 Balmoral Avenue, Springvale, Melbourne",Melbourne,-37.9494092102,145.1510185003,2,40,4.9,Excellent,923,305,"Vietnamese, Pho"
107,16580129,Yeonga Korean BBQ Restaurant,North Melbourne,"1 Cobden Street, North Melbourne, Melbourne",Melbourne,-37.805638915900005,144.9570951238,4,100,4.8,Excellent,1566,520,"Korean BBQ, Korean, BBQ"
108,16582887,Rice Paper Scissors,CBD,"15, Hardware Lane, CBD, Melbourne",Melbourne,-37.814313,144.961402,3,80,4.8,Excellent,2566,991,"Asian Fusion, Tapas"
109,16572320,Shira Nui,Glen Waverley,"247 Springvale Road, Glen Waverley, Melbourne",Melbourne,-37.8788198823,145.165768303,4,150,4.8,Excellent,1634,420,"Sushi, Japanese"
110,17868098,Bahari The Hellenic Palate,Richmond,"179 Swan Street, Richmond, Melbourne, VIC",Melbourne,-37.825587685500004,144.99757401649998,3,80,4.8,Excellent,756,394,Greek
111,16570775,Attica,Ripponlea,"74 Glen Eira Road, Ripponlea, Melbourne",Melbourne,-37.8769242618,144.9973121658,4,600,4.8,Excellent,1485,491,"Australian, Contemporary"
112,16572155,Punch Lane,CBD,"43 Little Bourke Street, CBD, Melbourne",Melbourne,-37.8108116997,144.9713500589,4,150,4.8,Excellent,1090,429,"Mediterranean, Modern Australian"
113,16579337,Aka Siro,Collingwood,"106, Cambridge Street, Collingwood, Melbourne",Melbourne,-37.8051562667,144.9855748192,3,80,4.8,Excellent,841,236,Japanese
114,16573311,The Proud Peacock,Mount Waverley,"28 Hamilton Place, Mount Waverley, Melbourne",Melbourne,-37.8759680969,145.1287893578,2,45,4.8,Excellent,1352,625,"Chinese, Thai, Vietnamese"
115,16574371,Railway Club Hotel Port Melbourne,Port Melbourne,"107 Raglan Street, Port Melbourne, Melbourne",Melbourne,-37.8338037913,144.9444773421,4,120,4.8,Excellent,862,308,"Steak, Pub Food"
116,16571744,Lentil As Anything,Abbotsford,"1-3 St Heliers Street, Abbotsford, Melbourne",Melbourne,-37.8027048265,145.0035664067,1,25,4.8,Excellent,976,247,"Vegetarian, Vegan"
117,16582069,Jinda Thai Restaurant,Abbotsford,"7 Ferguson Street, Abbotsford, Melbourne",Melbourne,-37.8093087478,144.99236851930002,3,80,4.7,Excellent,3231,1031,Thai
118,16585400,Hakata Gensuke Ramen Professionals,CBD,"168 Russell Street, CBD, Melbourne",Melbourne,-37.8123360761,144.96804222469999,3,50,4.7,Excellent,2335,843,"Ramen, Japanese"
119,16571938,MoVida Bar De Tapas,CBD,"1 Hosier Lane, CBD, Melbourne",Melbourne,-37.8167026904,144.9691895396,4,120,4.7,Excellent,4325,899,"Spanish, Tapas"
120,16571189,Cumulus Inc.,CBD,"Ground Level, 45 Flinders Lane, CBD, Melbourne",Melbourne,-37.814794348,144.9731357396,4,150,4.7,Excellent,4951,1125,"Modern European, Contemporary"
121,16583132,Wagyu Ya,South Yarra,"156 Toorak Road, South Yarra, Melbourne",Melbourne,-37.839070981599995,144.9914190173,4,150,4.7,Excellent,1118,385,"Japanese, Steak, Japanese BBQ"
122,16582573,Mr. Miyagi,Windsor,"99 Chapel Street, Windsor, Melbourne, VIC",Melbourne,-37.8542571942,144.99287344520002,3,80,4.7,Excellent,2022,905,"Asian, Japanese"
123,16577621,Komeyui,South Melbourne,"181 Ferrars Street, South Melbourne, Melbourne",Melbourne,-37.830288,144.953843,4,150,4.7,Excellent,771,245,"Japanese, Japanese BBQ"
124,16573067,Cutler & Co,Fitzroy,"55-57 Gertrude Street, Fitzroy, Melbourne",Melbourne,-37.8055705717,144.9759430066,4,200,4.7,Excellent,2075,569,Modern Australian
125,16572325,Shoya Nouvelle Wafu Cuisine,CBD,"25 Market Lane, CBD, Melbourne",Melbourne,-37.8117808942,144.96922876690002,4,140,4.7,Excellent,1512,387,"Japanese, Sushi, Japanese BBQ"
126,16578925,Hell of the North,Fitzroy,"135 Greeves Street, Fitzroy, Melbourne",Melbourne,-37.8003351649,144.9835487455,4,135,4.7,Excellent,1335,418,"French, European"
127,16571812,Maha Restaurant,CBD,"21 Bond Street, CBD, Melbourne",Melbourne,-37.818166823,144.9626845121,4,300,4.7,Excellent,2638,929,Middle Eastern
128,16582991,Sezar,CBD,"6 Melbourne Place, CBD, Melbourne",Melbourne,-37.813434773000004,144.968899861,4,120,4.7,Excellent,944,410,Middle Eastern
129,16571710,Laksa King,Flemington,"6-12 Pin Oak Crescent, Flemington, Melbourne",Melbourne,-37.7877957536,144.9294968694,3,70,4.7,Excellent,4967,1302,"Malaysian, Chinese"
130,16571144,Claypots Seafood Bar,St Kilda,"213 Barkly Street, St Kilda, Melbourne, VIC",Melbourne,-37.8699640609,144.9806107208,3,90,4.7,Excellent,1336,356,Seafood
131,16572254,Rumi Brunswick,Brunswick,"116 Lygon Street, East Brunswick, Melbourne",Melbourne,-37.7748421244,144.9712652341,4,100,4.7,Excellent,1792,470,Middle Eastern
132,16571694,La Luna Bistro,Carlton North,"320 Rathdowne Street, Carlton North, Melbourne",Melbourne,-37.7911334282,144.9718352035,4,160,4.7,Excellent,1450,415,"Modern Australian, Steak, Mediterranean"
133,16580906,Milk the Cow,St Kilda,"157 Fitzroy Street, St Kilda, Melbourne, VIC",Melbourne,-37.8588823312,144.9794898927,3,80,4.7,Excellent,631,256,Bar Food
134,16570870,Bistro Thierry,Toorak,"511 Malvern Road, Toorak, Melbourne, VIC",Melbourne,-37.848244240999996,145.0038185343,4,200,4.7,Excellent,799,242,French
