,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
70,16591109,Soul Bistro,Milton,"Shop 5, 16 Baroona Road, Milton, Brisbane",Brisbane,-27.4691827619,153.0032581464,4064,"Tapas, Fusion, Cafe Food",3,60,4.4,Very Good,272,114
71,17841425,Roti Place,Brisbane CBD,"42 Charlotte Street, Brisbane CBD, Brisbane",Brisbane,-27.4718412798,153.0259395763,4000,Malaysian,3,60,4.4,Very Good,230,111
72,16594374,Billy Kart Kitchen,Annerley,"1 Eric Crescent, Annerley, Brisbane",Brisbane,-27.5238620760,153.0293084309,4105,Modern Australian,2,50,4.4,Very Good,438,210
73,16592247,Deer Duck Bistro,Auchenflower,"396 Milton Road, Auchenflower, Brisbane",Brisbane,-27.4737525055,152.9955722764,4066,"European, Modern Australian",4,150,4.4,Very Good,296,176
74,16590591,Pepe's Mexican Newmarket,Newmarket,"184 Enoggera Road, Newmarket, Brisbane",Brisbane,-27.4367589753,153.0063832551,4051,"Mexican, Tex-Mex",3,70,4.4,Very Good,460,204
75,16590279,Pane E Vino,Brisbane CBD,"124 Albert Street, Brisbane CBD, Brisbane",Brisbane,-27.4713302259,153.0265970528,4000,Italian,3,80,4.4,Very Good,435,148
76,17841502,Sushi Edo,Brisbane CBD,"153 Elizabeth Street, Brisbane CBD, Brisbane",Brisbane,-27.4703557066,153.0266000703,4000,"Sushi, Japanese",2,30,4.4,Very Good,280,94
77,16589777,1889 Enoteca,Woolloongabba,"12 Logan Road, Woolloongabba, Brisbane",Brisbane,-27.4868931061,153.0365929753,4102,"Italian, Vegetarian",4,140,4.4,Very Good,383,174
78,16591627,Guzman y Gomez,Emporium - Fortitude Valley,"Emporium, Shop 31, 1000 Ann Street, Fortitude Valley, Brisbane",Brisbane,-27.4529503412,153.0390713364,4006,Mexican,2,40,4.4,Very Good,866,198
79,16590088,Himalayan Cafe,New Farm,"640 Brunswick Street, New Farm, Brisbane",Brisbane,-27.4633273709,153.0415111408,4005,"Indian, Tibetan, Vegetarian, Salad",3,60,4.4,Very Good,493,128
80,16595113,Ben's Burgers,Fortitude Valley,"Winn Lane, 5 Winn Street, Fortitude Valley, Brisbane",Brisbane,-27.4580574613,153.0361540988,4006,"American, Burger",2,40,4.4,Very Good,408,173
81,16591379,Cafe Les Amoureux,Market Square Sunnybank,"Market Square, Corner Mains Road & McCullough Street, Sunnybank, Brisbane",Brisbane,-27.5725068276,153.0653801188,4109,French,4,100,4.4,Very Good,317,129
82,16590558,Hanwoori Korean Buffet,Brisbane CBD,"Level 1, 70 Mary Street, Brisbane CBD, Brisbane",Brisbane,-27.4722047871,153.0271737278,4000,Korean,3,80,4.4,Very Good,200,65
83,16591222,AJ Vietnamese Noodle House,Brisbane CBD,"70 Charlotte Street, Brisbane CBD, Brisbane",Brisbane,-27.4713564033,153.0268424749,4000,Vietnamese,2,30,4.4,Very Good,272,91
84,16590210,Malaya Corner,Market Square Sunnybank,"Market Square, Shop 38, 341 Mains Road, Sunnybank, Brisbane",Brisbane,-27.5725742914,153.0660895631,4109,"Chinese, Malaysian",2,50,4.4,Very Good,398,136
85,16591348,Canvas,Woolloongabba,"16B Logan Road, Woolloongabba, Brisbane",Brisbane,-27.4871572227,153.0367361382,4102,"Tapas, Spanish",3,80,4.4,Very Good,257,105
86,16591195,Archive Beer Boutique and Bistro,West End,"100 Boundary Street, West End, Brisbane",Brisbane,-27.4794018054,153.0125952512,4101,"Modern Australian, Bar Food",3,60,4.4,Very Good,343,99
87,16592878,Aquitaine Brasserie,eat South Bank,"eat South Bank, River Quay, Shop 2, Sidon Street, South Bank, Brisbane",Brisbane,-27.4809500176,153.0256653205,4101,French,4,130,4.4,Very Good,237,106
88,16590310,Punjabi Palace,South Brisbane,"135 Melbourne Street, South Brisbane, Brisbane",Brisbane,-27.4755774348,153.0151383206,4101,Indian,3,60,4.4,Very Good,419,164
89,16590464,Thai Wi-Rat,Brunswick Street Mall,"Brunswick Street Mall, Shop 270-292, 247 Brunswick Street, Fortitude Valley, Brisbane",Brisbane,-27.4580464535,153.0344545841,4006,"Laotian, Thai",3,80,4.4,Very Good,353,130
90,16592287,Mitoki Japanese Modern Tapas,Kangaroo Point,"35 Rotherham Street, Kangaroo Point, Brisbane",Brisbane,-27.4694266926,153.0361886323,4169,"Japanese, Tapas",3,70,4.4,Very Good,192,53
91,16593960,Bare Bones Society,Jindalee Home Shopping Centre,"Jindalee Home Shopping Centre, Shop 22, 34 Goggs Road, Jindalee, Brisbane",Brisbane,-27.5348288085,152.9479704425,4074,"Modern Australian, Cafe Food",2,40,4.4,Very Good,274,126
92,16591054,Pho Hien Vuong Pasteur,Market Square Sunnybank,"Market Square, Shop 319, 341 Mains Road, Sunnybank, Brisbane",Brisbane,-27.5730307854,153.0655718967,4109,"Vietnamese, Pho",2,50,4.4,Very Good,264,104
93,16592495,The Green Edge,Windsor,"Shop 2B, 229 Lutwyche Road, Windsor, Brisbane",Brisbane,-27.4357270177,153.0325555801,4030,"Vegan, Cafe Food",2,40,4.4,Very Good,156,89
94,16591658,Malaysia Makanan Restaurant,Calamvale,"Calamvale Village, Shop 17, Corner of Kameruka Street and Beaudesert Road, Calamvale, Brisbane",Brisbane,-27.6241249974,153.0488503352,4116,"Chinese, Malaysian",3,60,4.4,Very Good,235,102
95,16590068,Govinda's Pure Vegetarian,Brisbane CBD,"358 George Street, Brisbane CBD, Brisbane",Brisbane,-27.4695302142,153.0218880996,4000,"Indian, Healthy Food, Vegetarian, Vegan",1,20,4.4,Very Good,246,80
96,16595617,Genkotsu Ramen,Runcorn Plaza,"Runcorn Plaza, Shop 25, 258 Warrigal Road, Runcorn, Brisbane",Brisbane,-27.5882473532,153.0839346349,4113,"Japanese, Ramen",2,40,4.4,Very Good,198,83
97,16591593,Boucher,Graceville,"365 Honour Avenue, Graceville, Brisbane",Brisbane,-27.5215595356,152.9758935794,4075,French,4,150,4.4,Very Good,182,86
98,16591851,Pho Sai Gon,Sunnybank Hills,"Pacific Centre, Shop 9, 223 Calam Road, Sunnybank Hills, Brisbane",Brisbane,-27.6105403106,153.0540223047,4109,"Vietnamese, Pho",2,50,4.4,Very Good,188,66
99,16590757,Loving Hut,Mount Gravatt,"Shop 2, 1420 Logan Road, Mount Gravatt, Brisbane",Brisbane,-27.5375544155,153.0790764839,4122,Asian,2,50,4.4,Very Good,169,79
